gene	s1321	s1996	s1822	s1714	s1224	s1252	s1510	s1900	s1787	s1721	s1486	s1572	s1324	s1649	s1320	s1542	s1281	s1905
HK1A1	-1.398549318	-3.081793785	-2.730392933	-1.874469042	-2.288244963	-0.345387012	-1.423211336	-1.777607679	-0.241008028	-0.291955888	0.241469175	-1.637429833	-1.012600064	-1.976541042	-1.459431648	-1.446256161	-2.263034344	-1.682809949
HK1A2	0.39940688	0.278101802	-0.201139927	-0.533432245	-0.579293728	-0.287439704	-0.882643044	-0.415037572	-1.022367835	-0.748020768	-1.166995645	-0.134929627	-1.5600878	0.188203692	-0.669354796	-0.095759057	-0.976153255	-1
HK1A4	-0.025090963	0.437580109	0.104796171	0.953349888	-0.220500305	0.353232265	-0.67318958	0.51096189	-0.164386809	0.021859556	0.241469175	-0.432315528	-0.025311053	0.259087235	0.762960792	0.114458621	0.159198582	0.994075179
HK1A5	-0.130060583	-0.83893764	-0.235628277	0.619519711	0.812215209	-0.418143421	-0.525090992	0.263034403	0.642968178	1.458430052	-0.041464776	0.618909836	0.605721116	-0.391578555	-0.276209831	-0.702095151	0.035623878	0.769702315
HK1A6	-0.103093401	-0.43409583	0.067563236	0.765534699	-0.093866855	-0.418143421	0.384143472	-0.192645192	-0.514573097	-0.624031961	-0.01761806	0.203872278	-0.636036634	-0.487793863	-0.330148727	-0.81398809	0.159198582	-0.272525907
HK1A7	-0.465663582	-0.66675657	-0.61996901	0.476028085	0.109347403	-0.603699088	0.048094377	-0.621488452	-0.437405288	-1.011055231	-0.275930107	0.123382434	-0.636036634	-0.538419962	-1.237039208	-0.229025543	-0.352301806	-0.162552997
HK1A8	-0.350186288	-0.703282475	-0.849974632	0.368387341	-0.388771802	-0.575684726	-0.075288057	-0.206450984	-0.422454894	-0.573991299	-0.153939545	0.237039253	-0.845490038	-0.864648104	-0.777607679	0.186011955	0.180572212	-1.123382449
HK1A9	-1.610053539	-2.233797073	-2.06054163	-0.338416219	-0.529253066	-1.603699088	-1.390789986	-1.777607679	-1.630050302	-2.22606802	-1.860892653	-1.252766132	-1.597562551	-1.504472613	-1.584962487	-1.598259211	-0.819427788	-1.645335197
HK1A10	-0.415037453	0.5348773	0.095577538	-0.371968746	-0.43409583	-0.661414504	-0.101283252	-0.819427788	-0.514573097	-1.573991299	-1.333645582	-0.467504919	0.776561856	1.135351777	0.540568233	0.340340078	-0.277534008	0.208813936
HK1A11	-0.92724359	-0.631132722	-0.28293395	-0.571906328	-0.233797118	-1.086299777	0.106041685	-0.90689069	-1.664815784	-1.478834152	-0.860892534	-0.974464953	-3.260527611	-1.721284032	-2.090197802	-1.095759034	-0.463947147	-0.110558406
HK1B1	-1.903784633	0.487048745	-1.040077567	-0.514573216	-0.880160213	-1.521236897	-0.753360033	-1.125530958	-0.437405288	-0.463567346	-0.206888378	-0.741265714	-0.597562492	-0.663950861	-0.371968865	-0.81398809	-1.352301836	-1.202816963
HK1B2	-0.500428975	-1.10604167	-0.43493706	0.07662122	-0.859401703	-1.028196812	-1.182203293	-0.952694356	-1.664815784	-1.607158184	-1.115465403	-1.106915236	-1.487938046	-0.258312047	-0.400537997	-0.768184423	-0.798366189	-0.123382434
HK1B3	0.673400521	0.772866607	-0.259087235	0.57619226	0.495131075	-0.752562404	0.483679175	0.137503535	0.147557288	-0.022195727	0.017428845	0.532495081	0.263034463	-0.391578555	0.053637892	0.649668157	-0.165423602	1.457279801
HK1B4	-0.591194451	-1.03448844	-1	-0.067114286	-0.83893764	-1.321928024	-1.127755404	-1	-1.774440289	-1.607158184	-0.92598772	-1.025995135	-0.597562492	-0.626956582	-0.686842203	-1.067744732	-0.621488452	-0.822212934
HK1B5	-0.835613251	-0.274439216	-0.666262627	0.522421062	-0.388771802	-0.954196274	-0.692818403	-0.306977779	-0.241008028	0.242701441	-0.626427293	-0.315501869	0.061400637	0.229133934	0.074546874	0.421640217	-0.697437286	1.09163034
HK1B6	0.351472408	0.412194788	0.019628763	0.811097264	0.5659042	-0.146841377	0.42113781	0.655351758	0.387023181	-0.187932923	0.846060395	0.025535062	-0.245577127	0.249171764	-0.101879656	-0.24462238	0.321928024	0.577057362
HK1B7	-0.171480477	-0.181329742	-0.461904228	0.51326102	0.055709511	-0.028196871	0.150779948	-0.08671169	0.216036946	-0.187932923	0.160169035	0.362570107	0.449130774	-0.110558406	0.010888308	0.489203453	-0.976153255	-0.555697978
HK1B8	-0.199769497	-0.5457412	-0.43493706	-0.441509724	0.278101802	-0.096215248	-0.282730103	0.44183749	0.187085599	0.146486193	0.346265346	0.342392147	-0.419225216	-0.573185384	-0.263034463	-0.124328181	0.51096189	-0.162552997
HK1B9	-0.708233893	-0.859401703	-1.019899607	0.089004934	-0.703282475	-0.7842713	-0.795180142	-0.497499675	-1.139724731	-1.056143045	0.29957208	-0.299560249	-0.01260002	-0.573185384	-0.669354796	-0.138827741	-1	-1.123382449
HK1B10	0.704261422	0.044738263	1.145565748	0.504042387	0.697815776	0.556765556	0.694785774	0.148391843	0.177304596	0.106128365	0.666354418	0.146841392	0.27345103	0.198545635	0.330645233	0.12663345	0.786596298	-0.085247353
HK1B11	-1.076621175	-2.130703688	-1.040077567	-0.874469101	-0.194268793	-1.883806944	-1.525091052	-1.447458982	-1.97797358	-2.44846034	0.051644534	-1.597901583	-1.201633811	-1.175849795	-1.552541137	-1.482782125	-1.736965537	-0.345774889
HK1B12	-0.258068085	-0.944290519	-0.39540872	0.295455873	-0.274439216	-0.167599916	-0.088227108	-0.165423602	-0.437405288	-0.607158184	0.028924495	0.799975395	-1.012600064	-0.330824494	-1.161751151	-0.341919601	0.881011963	-0.953457475
HK1C2	1.07275641	0.171186626	0.758542657	-0.389042377	0.725560784	0.116192997	0.845277429	0.341036856	-0.139724776	0.233363539	0.355425388	0.237039253	0.449130774	0.239187688	0.66296494	0.231815591	0.485426724	1.720314264
HK1C3	-0.770518064	-0.922595441	-0.43493706	1.332382441	-0.011404753	0.563079357	-0.024662033	0.22239235	0.157541364	0.032666296	0.46103552	0.927354693	-0.736965537	-1.048094392	-0.444481313	-0.375867009	-0.138706282	0.373043448
HK1C4	-0.243271083	-1.316259384	-0.356934607	-0.321928144	-0.721898198	-0.481708497	-0.774118543	-0.884522915	-1.467778921	-1.478834152	-0.608505428	-0.597901523	-0.868210077	-0.216491908	-1.343954563	-0.260389686	-0.514573276	-0.244236887
HK1C5	0.778643727	-0.274439216	-0.134542108	1.064130306	1.140598297	-0.136573076	1.231099129	0.242856443	1.054447889	1.101003289	0.958535194	0.934112072	-0.038135082	0.069262594	0.268488795	-0.067744702	-0.33703506	1.108181596
HK1C6	-0.500428975	0.268703163	-1.040077567	-0.389042377	-0.83893764	-0.972343564	-0.753360033	-0.584962547	-1	-1.509860992	-0.472622037	-0.617530346	0.073373273	0.409112662	0.304333955	0.526436388	-0.192645192	0.33604911
HK1C7	-0.318822145	-0.359328032	-0.029953301	0.584962428	-0.5963673	-0.56187892	-0.507603586	-0.71706605	-0.682517767	-0.557689548	-0.522090673	0.111508355	-0.01260002	-0.455003977	-0.568660796	-0.308752775	-0.621488452	-0.360881776
HK1C8	0.197301537	1.176222205	-0.029953301	0.504042387	0.766202927	-0.231730193	0.492396414	-0.08671169	-0.056583494	-0.494264126	-0.053537607	0.258734286	0.605721116	0.363883406	0.63508594	0.84652549	0.252980649	0.623851538
HK1C9	0.17544198	-0.81875962	0.244803667	0.229867473	-0.359328032	-0.589623868	-0.312787414	-0.497499675	-0.308122307	-0.090908408	0.469497114	0.362570107	-0.187278539	-0.455003977	-0.224215224	0.243042842	-0.234465331	-0.060372695
HK1C10	-0.648527563	-1.288244963	-0.589911699	-0.338416219	-0.66675657	-1.047305703	-1.238786817	-0.697437286	-1.115477085	-0.967333674	-0.860892534	-0.637429893	-0.962846994	-0.52134639	-0.777607679	-0.680721521	-0.640104175	-0.760812283
HK1D2	-0.448589981	-0.046170145	-0.43493706	-0.758992016	-1.4651227	-1.086299777	-0.26793313	-0.138706282	-0.612976789	-0.711494803	-0.005840898	0.169924989	-0.290901184	-0.864648104	-0.65207684	0.209095553	-0.399095953	-0.422942698
