gene	s1816	s1616	s1063	s1936
HK1A1	-0.821402609	-0.56187892	-0.461133868	-0.932885766
HK1A2	-0.861480117	-1.63226819	-0.773724079	-0.333423734
HK1A4	0.40662533	0.43812111	0.411630929	1.251538754
HK1A5	1.328622818	1.37373054	0.557481766	1.022720098
HK1A6	1.333068609	1.242200851	0.040263996	0.033947289
HK1A7	-0.966833055	0.59012419	0.316473812	-0.157100961
HK1A8	0.283393562	-0.984570026	-0.128007486	0.110182941
HK1A9	-2.618909836	-1.451696038	-1.11321044	-1.977279902
HK1A10	0.217591465	-0.112894036	0.130060583	0.317340851
HK1A11	-1.966833115	-1.494764686	-0.518466949	-2.889817238
HK1B1	0.188445151	0.920272768	1	-0.655351818
HK1B2	-0.923764348	-1.681177855	-1.598637342	-0.86875546
HK1B3	-0.022542536	0.306331187	1.079434633	0.172467172
HK1B4	0.086804867	-0.015596837	-0.661831141	-0.263034463
HK1B5	0.776675403	0.912052274	0.93741554	0.546282053
HK1B6	0.355094969	0.494264126	0.305502564	1.522565961
HK1B7	0.783188641	1.168200254	1.505699396	0.630050421
HK1B8	0.472588539	0.960686982	0.305502564	0.415037453
HK1B9	0.415037572	-0.217230707	0.538866103	0.423599541
HK1B10	-0.068712682	0.379704475	-0.442518204	0.849268556
HK1B11	-0.022542536	0.755461931	-1.598637342	-0.86875546
HK1B12	-0.988859475	0.090197816	-0.821029723	-0.710493445
HK1C2	0.188445151	0.42662546	0.401362628	0.538419962
HK1C3	0.581229806	0.343484163	0.226275951	-0.157100961
HK1C4	0.178597391	0.331205845	0.066495508	-0.235812873
HK1C5	0.310700893	0.030696772	-0.301655591	0.482151687
HK1C6	-0.367371023	-0.516791105	0.040263996	-0.485426843
HK1C7	1.427564621	1.209034085	0.053439364	-0.18286404
HK1C8	0.158697844	0.306331187	-0.23606731	0.22239244
HK1C9	-0.01122725	0.764621973	-0.335602999	-0.333423734
HK1C10	-1.801773787	-0.253756642	-0.098563738	-0.767826557
HK1D2	-0.283306837	0.403355718	0	-0.263034463
HK1D3	1.287980795	-0.389411747	-0.318529397	0.280107915
HK1D5	0.274174929	-0.310340136	0.11756964	-0.082462102
HK1D6	0.472588539	1.796231508	0.965566576	0.432111025
HK1D10	-1.763299704	-0.181606829	-1.598637342	-1.046542525
HK1D11	-0.216811329	0.21572873	-0.268488765	0.192645133
HK1E1	0.74366039	-0.310340136	-0.098563738	0.099535704
HK1E3	-1.01122725	-0.40987584	-0.499101698	-0.222392365
HK1E4	0.901662171	0.689659834	0.32736212	1.067114234
HK1E5	0.118055791	0.318822145	-0.069708906	0.078002572
HK1E6	-0.338801891	-1.681177855	-1.084064245	-0.729352415
HK1E7	-1.584962368	-1.584962487	-1.335602999	-1
